0	"Projeto Bahia" proprietary AI monitors 70,000+ stores & 20,000 brands across 58 malls; "Store Insights" data product for retailer decisions
3	800+ AI models and agents in operation across agribusiness/retail; grew AI solutions 130% in 3 years
7	"Minhas Finanças" AI tool analyzes 3-month spending behavior + Open Finance data to detect spending patterns and automate expense organization
8	WhatsApp-integrated "Daily Banker" AI agents simplifying payments and daily banking
9	Superapp unifying 15 systems with "AI integration"; vague, no named use case or metric
12	Internal AI-literacy "immersion" program for employees + integrated-report language on ethical AI adoption; no deployed use case
13	150 generative AI solutions in production + 750+ cases in development; "Inteligência Itaú" genAI client experience; "Inteligência de Investimentos" AI expanded to 100,000 clients
14	F1RST tech unit uses GenAI to convert legacy Java programs at 98% accuracy, automating repetitive dev tasks; "AI as a junior engineer"
15	AI assistant deployed in investments division; group-level OpenAI collaboration to become "AI-driven bank" (EUR1bn AI target to 2028)
17	"Conheça seus Clientes"/"Canal Lojista" data-intelligence tools giving retailers consumer demographics & behavior
20	AI-based "Circulation Optimizer" coordinating train crossings (rail ops) for control agility/safety; AI cloud-security for alert mgmt & risk prioritization
21	Generative AI corporate tool (Azure OpenAI) supporting 100,000+ employees
24	"Shape Lighthouse" (Shape Digital) AI platform for offshore asset mgmt/predictive failure anticipation in Campos Basin; ~15% reduction in unplanned downtime projected
25	AI predictive-maintenance model for sugarcane harvesters (colhedoras), predicting injector lifespan; reported R$58M savings; AI for agri monitoring & logistics
28	"Posto 360 2.0" AI platform + vehicle-flow cameras turning gas stations into smart consumption centers; AI for B2B CRM
29	"Tactics Energy" AI platform (with Aquarela Analytics) for free-market energy trading; 68% assertiveness over 2 years, recommended 520+ transactions
30	(Eletrobras rebrand) 250+ drones + AI monitoring generation/transmission assets to optimize inspections & reduce team risk; "Eletro.ia" strategic AI-scaling program
35	In-house GenAI tool used end-to-end in product innovation process (Nestlé disclosure)
39	AI analyst video avatars using OpenAI + Synthesia to deliver investment insights to clients (UBS disclosed, May 2025)
41	AI recruitment automation via Veritone across Cartier, Van Cleef & Arpels, IWC (disclosed Oct 2024)
48	AI-Enabled Route Scouting Service — AI (Elsevier Reaxys) + Lonza R&D/supply-chain data to identify synthetic routes for novel APIs (launched Apr 2024)
49	AI network operations assistant built on Amazon Bedrock (multi-agent, serverless) — Swisscom disclosure via AWS
51	Enterprise agentic AI for customer support & sales (Amazon Bedrock AgentCore)
56	Brand Engagement Network (BEN) partnership to develop AI for insurance operations — announcement only, no named live deployment
57	KN OmniPredict — AI predictive logistics integrating vessel positions, weather, port congestion & geopolitical data (K+N disclosure)
58	K.AI — centralized generative AI platform for CX and process optimization (K+N disclosure)
59	AI-based customer email classification & routing (developed with Statworx; Geberit disclosure)
60	AI Competence Centre + hackathons building autonomous AI agents (Geberit Annual Report 2025)
61	AI auto-framing & speaker tracking in MeetUp 2 conferencing hardware (Logitech disclosure)
62	AI Streaming Agent (marketed as "industry's first"); AI-enabled products cited as revenue driver Q2 2025
65	"AI First" strategy; AIAgent for long-tail retail wealth service; AI reimbursement processing (1.138M paperless reports/yr); self-built 10B-param financial LLM (open-sourced)
70	"紫金选矿试验AI辅助系统v1.0.0" (ore-selection AI); "紫金方舟" (Zijin Ark) smart-mine platform; AI+5G full-automation drilling/loading/transport; Zijin AI Assistant integrating DeepSeek
71	Deep learning + LLMs integrated into alternative-investment operations to accelerate strategy development; AI across research & risk management (2024/2025 annual report)
73	Self-controlled billion-parameter LLM deployed across 30+ domains / 500+ scenarios; AI digital workers ≈55,000 person-years of work; "数智工行(AI-ICBC)"; published AI large-model whitepaper (Oct 2024)
75	Self-developed "妙想" (Miaoxiang) financial LLM; AI investment assistant; "首个基于金融大模型的智能应用"; AI integrated across all product/business lines
77	"启元/Qiyuan" critical-care medical LLM (claimed first global critical-care vertical model); Qiyuan ultrasound model; AI blood-cell morphology recognition in IVD; AI in N-series monitors/R-series ultrasound
79	Billion-parameter financial LLM matrix; "1+1+N" AI system; largest heterogeneous compute cluster in CN finance; AI investment-research generation, smart assistant, automated compliance reviews
80	"AI For Science" R&D projects (reduced experiments); materials LLM w/ Peking Univ (industry-first); "TPT" time-series pretrained transformer deployed at Ningbo chlor-alkali 650kt caustic-soda plant for autonomous optimization
